chutes_1,chutes_2,chutes_no_alvo_1,chutes_no_alvo_2,posse_de_bola_1,posse_de_bola_2,passes_1,passes_2,precisao_passes_1,precisao_passes_2,faltas_1,faltas_2,cartao_amarelo_1,cartao_amarelo_2,cartao_vermelho_1,cartao_vermelho_2,impedimentos_1,impedimentos_2,escanteios_1,escanteios_2,resultado
9,15,0,0,0.65,0.35,509,280,0.8034264184397164,0.8052482269503546,13,19,1,4,0,0,1,0,5,8,1
10,10,0,0,0.56,0.44,471,384,0.8034264184397164,0.8052482269503546,17,18,3,4,0,0,1,1,6,5,1
9,5,0,0,0.43,0.57,360,481,0.8034264184397164,0.8052482269503546,14,10,5,1,0,0,1,3,11,2,1
15,14,0,0,0.42,0.58,357,477,0.8034264184397164,0.8052482269503546,20,14,2,4,0,0,1,2,9,4,1
16,15,0,0,0.48,0.52,363,383,0.8034264184397164,0.8052482269503546,17,19,0,0,0,0,1,4,6,6,0
13,15,0,0,0.48,0.52,355,394,0.8034264184397164,0.8052482269503546,18,16,3,3,0,0,6,5,10,2,1
21,15,0,0,0.48,0.52,437,477,0.8034264184397164,0.8052482269503546,11,12,1,1,0,0,1,1,11,6,1
8,11,0,0,0.43,0.57,269,364,0.8034264184397164,0.8052482269503546,19,18,2,2,0,0,1,1,6,6,1
21,8,0,0,0.61,0.39,587,385,0.8034264184397164,0.8052482269503546,13,16,2,2,0,0,0,1,5,1,1
5,12,0,0,0.54,0.46,485,411,0.8034264184397164,0.8052482269503546,11,7,1,1,0,0,8,2,3,5,1
6,17,0,0,0.53,0.47,418,375,0.8034264184397164,0.8052482269503546,15,19,3,4,0,0,3,4,4,7,1
11,9,0,0,0.46,0.54,399,470,0.8034264184397164,0.8052482269503546,18,12,1,1,0,0,0,3,7,6,1
12,10,0,0,0.33,0.67,212,440,0.8034264184397164,0.8052482269503546,24,12,2,5,0,0,4,0,5,8,1
16,13,0,0,0.57,0.43,495,393,0.8034264184397164,0.8052482269503546,14,16,0,1,0,0,3,0,8,0,2
13,14,0,0,0.49,0.51,447,440,0.8034264184397164,0.8052482269503546,20,17,2,2,0,0,0,3,3,8,2
10,13,0,0,0.61,0.39,459,310,0.8034264184397164,0.8052482269503546,22,23,4,1,0,0,1,1,7,3,2
16,13,0,0,0.55,0.45,388,326,0.8034264184397164,0.8052482269503546,21,20,2,2,0,0,0,3,5,3,1
17,10,0,0,0.5,0.5,406,426,0.8034264184397164,0.8052482269503546,20,14,2,4,0,0,2,4,11,2,0
26,3,11,0,0.74,0.26,702,250,0.8034264184397164,0.8052482269503546,9,14,2,0,0,1,1,1,5,3,1
11,17,0,0,0.45,0.55,401,473,0.8034264184397164,0.8052482269503546,17,21,3,4,0,1,2,0,5,10,0
11,13,0,0,0.44,0.56,391,487,0.8034264184397164,0.8052482269503546,15,17,1,3,0,0,2,4,4,2,2
17,7,0,0,0.54,0.46,449,391,0.8034264184397164,0.8052482269503546,17,14,1,2,0,1,0,3,7,1,1
10,17,0,0,0.39,0.61,335,502,0.8034264184397164,0.8052482269503546,17,17,1,2,0,0,1,1,2,11,1
12,19,0,0,0.46,0.54,430,502,0.8034264184397164,0.8052482269503546,12,17,1,2,0,0,6,1,6,4,1
5,11,0,0,0.38,0.62,279,439,0.8034264184397164,0.8052482269503546,27,16,5,3,0,0,2,0,2,4,0
16,8,0,0,0.51,0.49,462,452,0.8034264184397164,0.8052482269503546,10,11,2,1,0,1,2,2,4,3,0
13,8,0,0,0.41,0.59,334,477,0.8034264184397164,0.8052482269503546,14,18,2,1,0,1,0,1,6,5,1
9,10,0,0,0.43,0.57,353,456,0.8034264184397164,0.8052482269503546,22,13,2,3,0,0,3,4,2,4,1
11,13,0,0,0.54,0.46,487,437,0.8034264184397164,0.8052482269503546,13,16,4,2,0,0,5,1,2,7,1
12,14,0,0,0.47,0.53,381,436,0.8034264184397164,0.8052482269503546,18,13,2,6,0,0,3,0,6,7,0
16,8,8,2,0.54,0.46,466,411,0.8034264184397164,0.8052482269503546,17,9,2,1,0,0,1,2,7,0,1
14,18,0,0,0.41,0.59,373,492,0.8034264184397164,0.8052482269503546,7,10,3,2,0,0,1,6,3,13,0
7,20,0,0,0.56,0.44,445,351,0.8034264184397164,0.8052482269503546,13,18,4,1,0,0,5,2,3,15,1
8,6,0,0,0.57,0.43,451,345,0.8034264184397164,0.8052482269503546,17,26,3,7,0,0,2,4,4,9,1
8,11,0,0,0.39,0.61,377,589,0.8034264184397164,0.8052482269503546,17,12,3,1,0,0,5,3,1,5,0
19,10,0,0,0.4,0.6,373,549,0.8034264184397164,0.8052482269503546,15,14,1,3,0,0,5,1,6,4,1
13,7,0,0,0.61,0.39,466,312,0.8034264184397164,0.8052482269503546,15,16,6,2,0,1,1,0,8,1,0
7,16,0,0,0.37,0.63,380,642,0.8034264184397164,0.8052482269503546,11,12,0,2,0,0,1,3,0,5,1
19,5,0,0,0.63,0.37,536,326,0.8034264184397164,0.8052482269503546,16,24,6,5,0,0,1,1,11,4,1
7,21,0,0,0.26,0.74,171,445,0.8034264184397164,0.8052482269503546,24,13,4,6,1,1,1,5,6,13,2
15,13,0,0,0.6,0.4,462,307,0.8034264184397164,0.8052482269503546,20,13,6,5,0,0,3,3,5,4,1
11,16,0,0,0.36,0.64,324,537,0.8034264184397164,0.8052482269503546,7,8,4,0,1,0,4,3,2,9,1
15,7,4,2,0.42,0.58,355,500,0.8034264184397164,0.8052482269503546,19,6,2,2,0,0,2,3,9,6,0
13,8,0,0,0.43,0.57,338,443,0.8034264184397164,0.8052482269503546,15,17,5,6,0,0,0,7,4,2,1
22,15,0,0,0.54,0.46,390,357,0.8034264184397164,0.8052482269503546,17,11,2,2,0,0,3,4,16,3,0
12,9,0,0,0.49,0.51,388,385,0.8034264184397164,0.8052482269503546,13,17,1,4,0,0,1,0,2,5,1
13,14,0,0,0.47,0.53,438,483,0.8034264184397164,0.8052482269503546,20,15,4,1,0,1,1,0,0,4,1
11,11,0,0,0.58,0.42,413,310,0.8034264184397164,0.8052482269503546,17,21,4,4,0,0,3,0,5,3,2
19,10,0,0,0.46,0.54,399,464,0.8034264184397164,0.8052482269503546,13,12,4,0,0,0,4,1,7,4,2
18,15,0,0,0.54,0.46,472,415,0.8034264184397164,0.8052482269503546,9,11,1,2,0,0,6,0,8,7,0
9,21,0,0,0.47,0.53,413,457,0.8034264184397164,0.8052482269503546,12,16,3,0,0,0,3,2,7,5,1
10,9,0,0,0.41,0.59,345,495,0.8034264184397164,0.8052482269503546,14,14,1,1,0,0,0,1,2,3,0
8,14,0,0,0.54,0.46,516,434,0.8034264184397164,0.8052482269503546,19,17,3,0,0,1,3,3,5,10,0
9,12,0,0,0.54,0.46,477,409,0.8034264184397164,0.8052482269503546,21,21,5,5,0,0,4,3,2,6,2
7,15,2,5,0.33,0.67,253,475,0.8034264184397164,0.8052482269503546,23,24,3,5,1,1,0,1,1,8,2
9,22,0,0,0.32,0.68,266,545,0.8034264184397164,0.8052482269503546,17,11,3,5,0,1,2,1,5,4,1
12,9,0,0,0.47,0.53,385,442,0.8034264184397164,0.8052482269503546,12,8,1,4,0,0,1,5,6,4,1
14,16,0,0,0.52,0.48,441,417,0.8034264184397164,0.8052482269503546,15,18,1,3,2,0,0,3,6,2,2
12,10,0,0,0.47,0.53,314,349,0.8034264184397164,0.8052482269503546,12,16,5,3,0,0,1,1,10,7,1
13,8,0,0,0.63,0.37,531,329,0.8034264184397164,0.8052482269503546,14,15,5,3,0,1,1,0,8,1,1
13,20,0,0,0.38,0.62,397,627,0.8034264184397164,0.8052482269503546,22,10,2,3,0,0,6,0,3,5,1
7,16,0,0,0.46,0.54,395,479,0.8034264184397164,0.8052482269503546,12,15,3,3,0,0,3,4,10,7,2
8,11,0,0,0.48,0.52,378,410,0.8034264184397164,0.8052482269503546,17,16,3,2,0,0,1,2,10,5,1
12,8,6,4,0.53,0.47,451,414,0.8034264184397164,0.8052482269503546,13,24,1,4,0,0,1,3,3,4,1
